Species	Order	Family	Genus	AdultBodyMassGrams	SexualMaturityAgeDays	MaxLongevity	LitterSize	LittersPerYear	BasalMetRate	Temp_Mean_01degC
Acinonyx_jubatus	Carnivora	Felidae	Acinonyx	50577.92	741.97	246	3.28	0.7	17115	23.083
Acomys_russatus	Rodentia	Muridae	Acomys	42.35	91	NA	2.5	NA	NA	21.439
Ailuropoda_melanoleuca	Carnivora	Ursidae	Ailuropoda	117999.99	2413.02	441.6	1.62	0.5	NA	6.551
Antechinus_flavipes	Dasyuromorphia	Dasyuridae	Antechinus	44.33	334.58	46.8	8.54	1	45.1	16.941
Aotus_nancymaae	Primates	Aotidae	Aotus	791.03	NA	NA	1.02	NA	NA	26.124
Apodemus_sylvaticus	Rodentia	Muridae	Apodemus	21.9	57.93	75.6	5.16	3.75	56.98	9.082
Artibeus_jamaicensis	Chiroptera	Phyllostomidae	Artibeus	43.63	333.22	230.4	1	2	56.5	23.753
Arvicanthis_niloticus	Rodentia	Muridae	Arvicanthis	95.8	51.89	80.4	4.86	3.5	NA	24.902
Arvicola_amphibius	Rodentia	Cricetidae	Arvicola	120	48.43	60	4.76	3.5	113.1	1.026
Balaenoptera_acutorostrata_scammoni	Artiodactyla	Balaenopteridae	Balaenoptera	5587093.59	2680.62	600	1	1	NA	NA
Balaenoptera_musculus	Artiodactyla	Balaenopteridae	Balaenoptera	154321304.5	1959.8	1320	1	0.45	NA	NA
Bison_bison_bison	Artiodactyla	Bovidae	Bison	624577.07	921.77	402	0.98	1	NA	-0.535
Bos_indicus	Artiodactyla	Bovidae	Bos	NA	NA	NA	NA	NA	NA	NA
Bos_mutus	Artiodactyla	Bovidae	Bos	667000	738	NA	1	0.8	NA	NA
Bos_taurus	Artiodactyla	Bovidae	Bos	618642.42	755.15	240	1	1	NA	22.873
Bubalus_bubalis	Artiodactyla	Bovidae	Bubalus	929500.97	755.15	418.8	1.5	1	NA	22.358
Budorcas_taxicolor	Artiodactyla	Bovidae	Budorcas	294515.33	928.08	262.8	1.22	1	NA	3.988
Callithrix_jacchus	Primates	Cebidae	Callithrix	290.21	455.99	273.6	2.31	2.4	152	24.992
Callorhinus_ursinus	Carnivora	Otariidae	Callorhinus	55464.82	1683.65	420	1.04	0.5	NA	NA
Camelus_bactrianus	Artiodactyla	Camelidae	Camelus	554515.91	1330.6	480	1.39	1	NA	5.372
Camelus_dromedarius	Artiodactyla	Camelidae	Camelus	492714.47	1947.94	480	0.98	1	40293	NA
Camelus_ferus	Artiodactyla	Camelidae	Camelus	554515.91	1330.6	NA	1.39	1	NA	5.372
Canis_lupus_dingo	Carnivora	Canidae	Canis	31756.51	679.37	354	4.98	2	11254.2	0.482
Capra_hircus	Artiodactyla	Bovidae	Capra	47386.47	498.97	249.6	1.45	1	NA	NA
Carlito_syrichta	Primates	Tarsiidae	Carlito	115.91	518	180	1.01	0.9	76.7	24.107
Castor_canadensis	Rodentia	Castoridae	Castor	18124.41	663.02	280.8	3.6	1	NA	3.986
Cavia_porcellus	Rodentia	Caviidae	Cavia	727.99	68.59	177.6	3.45	5	NA	NA
Cebus_imitator	Primates	Cebidae	Cebus	2655	2213	NA	1	0.5	NA	NA
Ceratotherium_simum_simum	Perissodactyla	Rhinocerotidae	Ceratotherium	2285939.43	2741.23	600	1	0.4	NA	21.638
