sort.order,taxA,taxB,taxA.prop.genera,taxB.prop.genera,spp.A,spp.B,Height.A,Height.B,nuclear.all.A,nuclear.all.B,cp.dN.hyphy.A,cp.dS.hyphy.A,cp.dN.hyphy.B,cp.dS.hyphy.B,LAT.A,LAT.B,TEMP.A,TEMP.B,UV.A,UV.B
1,Ixioliriaceae,Tecophilaeaceae,1,0.4285714,2,22,6.396929655,5.700071611,0.030731,0.040182,0.033293,0.278025,0.027591,0.197123,37.67765727,13.06192241,145.6309205,216.3116025,3166.260576,4774.324403
2,Elaeocarpaceae,Cunoniaceae,0.4166667,0.6086957,350,250,8.417339398,9.292591157,0.016144,0.009912,0.023347,0.133351,0.011566,0.158537,16.62327163,16.33242632,219.8127193,221.2503052,4495.032164,4566.934837
3,Amaranthaceae,Caryophyllaceae,0.2032967,0.3186813,850,1750,6.507061144,5.828048839,0.008667,0.032869,0.014661,0.280871,0.00861,0.389487,25.43294251,33.65382576,186.4445118,134.2366603,4119.883291,3499.848223
5,Linaceae,Caryocaraceae,0.1428571,0.5,90,25,5.491188947,10.40327622,0.046514,0.01572,0.076642,0.547756,0.030429,0.272947,29.01250658,9.768096628,160.8542019,244.1574762,3825.052292,4926.110308
6,Portulacaceae,Cactaceae,0.2592593,0.15,580,2000,5.664265947,8.227678631,0.008373,0.001002,0.015291,0.094472,0.008021,0.063134,34.84236363,25.00460689,127.3810897,174.4531186,3374.617598,3818.224052
7,Parnassiaceae,Celastraceae,0.5,0.2555556,50,850,5.943517535,8.854522838,0.090586,0.024347,0.015248,0.338088,0.037339,0.258048,46.03124326,25.79187712,54.23979916,183.7017437,2416.946764,4089.410914
8,Alstroemeriaceae,Colchicaceae,0.6666667,0.2380952,200,200,6.725298195,5.966968734,0.031285,0.040318,0.030318,0.18492,0.018195,0.285971,15.3514879,32.43862095,219.1482857,135.8892968,4559.990135,3501.02559
9,Roridulaceae,Actinidiaceae,0,0.3333333,2,350,NA,9.200134873,0.063691,0.004711,0.034993,0.136503,0.027106,0.111977,32.35489908,21.70500064,170.713743,185.6899483,4026.038951,4008.669986
10,Piperaceae,Saururaceae,0.5,0.4,2000,7,7.281291433,6.953335668,0.063959,0.019714,0.028824,0.504781,0.012392,0.134418,15.00088481,33.94363845,223.5345927,134.2300896,4685.647809,3355.393976
11,Gentianaceae,Apocynaceae,0.2,0.08453608,900,1500,6.16560323,8.599787221,0.028791,0.010742,0.016392,0.278253,0.01673,0.145485,33.94421932,26.9824394,129.2637653,168.9929113,3377.674756,3877.585804
12,Zingiberaceae,Costaceae,0.173913,0.75,700,200,7.725545546,7.527080067,0.101882,0.024016,0.018614,0.267588,0.013861,0.079545,10.89416158,10.0428734,238.2741987,245.3102997,4979.599274,5025.014405
13,Ericaceae,Cyrillaceae,0.3594771,0.6666667,1350,13,6.936733592,9.833097322,0.004744,0.019733,0.044895,0.203443,0.024945,0.128818,33.4560533,11.26175362,132.3531323,239.6368606,3475.895558,4679.283545
15,Berberidaceae,Ranunculaceae,0.4444444,0.5384615,575,1500,6.739283673,6.027623964,0.017834,0.018218,0.020866,0.233888,0.026641,0.290214,37.34945058,33.83796053,106.1246753,132.0937677,3031.036449,3453.54279
16,Convolvulaceae,Solanaceae,0.0909091,0.2941176,1650,2000,6.593563801,7.417759655,0.018597,0.013421,0.044565,0.345095,0.023332,0.213703,25.87091658,27.56077,185.841023,171.7903308,4074.937623,3928.259656
17,Symplocaceae,Styracaceae,1,0.5454545,500,180,9.315251292,9.516647752,0.01688,0.012047,0.016678,0.18912,0.02642,0.326345,17.35795114,16.27873033,217.0755101,223.8539198,4387.001647,4511.159224
18,Altingiaceae,Hamamelidaceae,0.5,0.2962963,10,80,10.61447272,9.122487061,0.012273,0.00769,0.002391,0.103584,0.00662,0.071891,24.50445422,21.63011513,210.1529846,198.8647574,3844.304526,4089.729847
20,Brassicaceae,Resedaceae,0.1857143,0.1428571,3200,70,6.306029755,6.325594666,0.040797,0.023354,0.013732,0.168879,0.026198,0.308817,33.08545865,33.11249369,137.6566793,181.0117914,3534.795543,3808.042872
21,Loasaceae,Hydrangeaceae,0.1333333,0.375,250,115,6.734468484,7.768968027,0.02879,0.005132,0.010597,0.115485,0.019052,0.074699,23.78012579,25.28289395,187.0895874,172.7234389,4052.79981,3984.634221
22,Canellaceae,Winteraceae,0.1666667,0.75,16,120,9.120853205,8.558537526,0.031576,0.044897,0.032854,0.211836,0.01312,0.112323,6.169164809,17.78406792,246.4429696,222.6954759,5112.6572,4439.886949
23,Lowiaceae,Strelitziaceae,1,0.3333333,2,7,7.038937411,9.408535278,0.026483,0.007866,0.026806,0.107002,0.013732,0.065598,2.742683345,11.19393493,269.3660461,234.9572064,5123.683046,4818.984276
24,Bataceae,Koeberliniaceae,1,1,2,1,7.313220387,8.715388097,0.034546,0.028483,0.042669,0.443713,0.009634,0.330982,15.97074534,32.21665519,229.7890404,153.4566045,4557.431158,3609.820905
25,Hydroleaceae,Montiniaceae,1,0.6666667,250,4,6.617342279,8.379281287,0.016439,0.032631,0.050348,0.422171,0.025377,0.254704,17.43015061,13.8321835,215.7916473,219.0327527,4459.425739,5141.393317
26,Eucommiaceae,Garryaceae,1,1,1,18,9.61580548,8.733009078,0.030246,0.034906,0.031106,0.301277,0.027006,0.071353,28.97748429,31.18538013,156.5572956,151.3494071,3303.915832,3718.145702
27,Tetramelaceae,Begoniaceae,0.5,0.3333333,2,920,10.73639668,6.937201038,0.029894,0.039914,0.017933,0.101996,0.018361,0.257687,10.67403287,15.68864696,254.3872829,219.22366,4947.299916,4695.798698
28,Caricaceae,Moringaceae,0.5,1,55,12,9.031944052,9.421009601,0.011246,0.017324,0.023301,0.169104,0.00775,0.075545,8.62579144,24.38821868,241.0380958,223.9911774,4955.635223,4730.566258
29,Salicaceae,Lacistemataceae,0.5087719,1,350,27,9.19616444,9.112566967,0.014431,0.04626,0.024434,0.208972,0.013609,0.170607,33.53200333,12.13059878,131.294997,238.0534181,3467.665587,4753.177399
30,Tropaeolaceae,Akaniaceae,0.5,1,92,1,7.489330684,9.656011415,0.034499,0.011944,0.011739,0.120652,0.014418,0.012318,21.53549747,26.13619619,183.3161383,202.8278802,4287.112204,4179.886222
31,Heliconiaceae,Cannaceae,1,1,80,55,8.215027934,7.749664827,0.008825,0.017562,0.018895,0.050882,0.026682,0.156826,10.96351614,18.78360684,235.9431189,226.3328421,4814.504406,4655.713179
32,Adoxaceae,Caprifoliaceae,0.6,0.4594595,3,330,7.463445302,7.018905628,0.006412,0.011017,0.017004,0.083345,0.032756,0.339282,46.81297579,30.84464584,55.0029503,151.1991767,2336.379007,3536.649697
33,Himantandraceae,Degeneriaceae,1,1,2,1,10.46310334,10.30895266,0.020442,0.009604,0.011586,0.106643,0.009741,0.056052,11.20908676,15.64207967,250.0724665,260.0074977,5090.476003,4905.660852
34,Pontederiaceae,Commelinaceae,0.4444444,0.2105263,30,500,5.91639347,6.470019559,0.075646,0.034337,0.01197,0.334703,0.033556,0.477992,18.51958062,18.05631611,214.3170221,215.3717038,4431.181732,4595.081813
35,Fouquieriaceae,Polemoniaceae,1,0.3,11,300,9.235376196,6.273992,0.005006,0.024806,0.009044,0.093795,0.021208,0.333731,28.70163161,48.68441644,192.7043878,37.04963529,4213.132573,2245.790715
36,Melastomataceae,Vochysiaceae,0.1030928,0.5714286,4400,200,8.328222326,9.634646375,0.01755,0.044036,0.027653,0.346127,0.009744,0.254517,16.26012042,9.683972752,222.2875409,238.6056243,4635.054829,4845.856923
37,Eupomatiaceae,Annonaceae,1,0.312,2,1200,9.259130536,9.263372778,0.00523,0.038495,0.0168,0.150798,0.021128,0.31072,17.67309565,15.12294962,225.7603473,224.5983828,4598.656542,4711.133016
38,Vivianiaceae,Melianthaceae,1,0.25,30,15,6.214608098,8.006367568,0.047327,0.009026,0.027133,0.452793,0.034223,0.151288,33.42523412,11.38290135,158.4560182,223.9941361,3635.566293,5092.759021
39,Hypericaceae,Podostemaceae,0.5,0.02,1000,130,6.708855437,4.605170186,0.023541,0.06304,0.04202,0.380516,0.030093,0.894006,32.85309653,13.70954704,139.7932945,228.6122168,3391.928574,4674.435772
40,Lardizabalaceae,Circaeasteraceae,0.1111111,1,35,1,9.392661929,4.605170186,0.01486,0.051397,0.018764,0.164282,0.050399,0.456214,31.45643695,30.34632369,126.5997885,188.6689415,3992.908265,4256.541845
41,Onagraceae,Lythraceae,0.5294118,0.4516129,640,580,7.234171304,8.383428639,0.021947,0.02318,0.021192,0.368876,0.022569,0.316615,34.3403548,26.24680712,121.0497292,174.3984712,3302.899363,3928.697761
42,Cyperaceae,Juncaceae,0.3823529,0.6666667,5000,400,6.371719215,5.90419432,0.025605,0.029507,0.040599,0.565369,0.043076,0.376485,32.90178831,41.96061799,136.1039292,85.11893803,3530.49501,2784.841023
43,Dipterocarpaceae,Sarcolaenaceae,0.375,0.1111111,580,40,10.62640212,9.050638833,0.011218,0.00934,0.025683,0.120615,0.024025,0.116989,11.0458245,19.40223539,243.0561896,232.6693468,4954.931563,4769.545558
44,Apiaceae,Araliaceae,0.2004662,0.4222222,2850,700,6.597908095,8.12280818,0.018821,0.010082,0.016981,0.226117,0.018778,0.08959,32.47198921,23.93095801,141.4003218,183.9099898,3519.399158,4056.468447
45,Fabaceae,Surianaceae,0.3441654,0.2,12000,5,8.656997329,8.29404964,0.012772,0.041221,0.023773,0.238921,0.007663,0.238954,31.82766665,11.25974007,143.0815438,247.9136847,3629.026795,4985.559335
